Vehicle,1/1/07,2/1/07,3/1/07,4/1/07,5/1/07,6/1/07,7/1/07,8/1/07,9/1/07,10/1/07,11/1/07,12/1/07,1/1/08,2/1/08,3/1/08,4/1/08,5/1/08,6/1/08,7/1/08,8/1/08,9/1/08,10/1/08,11/1/08,12/1/08,1/1/09,2/1/09,3/1/09,4/1/09,5/1/09,6/1/09,7/1/09,8/1/09,9/1/09,10/1/09,11/1/09,12/1/09,1/1/10,2/1/10,3/1/10,4/1/10,5/1/10,6/1/10,7/1/10,8/1/10,9/1/10,10/1/10,11/1/10,12/1/10,1/1/11,2/1/11,3/1/11,4/1/11,5/1/11,6/1/11,7/1/11,8/1/11,9/1/11,10/1/11,11/1/11,12/1/11,1/1/12,2/1/12,3/1/12,4/1/12,5/1/12,6/1/12,7/1/12,8/1/12,9/1/12,10/1/12,11/1/12,12/1/12,1/1/13,2/1/13,3/1/13,4/1/13,5/1/13,6/1/13,7/1/13,8/1/13,9/1/13,10/1/13,11/1/13,12/1/13,1/1/14,2/1/14,3/1/14,4/1/14,5/1/14,6/1/14,7/1/14,8/1/14,9/1/14,10/1/14,11/1/14,12/1/14,1/1/15,2/1/15,3/1/15,4/1/15,5/1/15,6/1/15,7/1/15,8/1/15,9/1/15,10/1/15,11/1/15,12/1/15,1/1/16,2/1/16,3/1/16,4/1/16,5/1/16,6/1/16,7/1/16,8/1/16,9/1/16,10/1/16,11/1/16,12/1/16,1/1/17,2/1/17,3/1/17,4/1/17,5/1/17,6/1/17,7/1/17,8/1/17,9/1/17,10/1/17,11/1/17,12/1/17,1/1/18,2/1/18,3/1/18,4/1/18,5/1/18,6/1/18,7/1/18,8/1/18,9/1/18,10/1/18,11/1/18,12/1/18,1/1/19,2/1/19,3/1/19,4/1/19,5/1/19,6/1/19,7/1/19,8/1/19,9/1/19,10/1/19,11/1/19,12/1/19,1/1/20,2/1/20
"Passenger Cars, motorcycles and buses (fewer than 13 pass.)","3,854,557","3,696,694","4,166,311","4,208,764","4,908,901","5,308,510","6,445,767","6,880,939","5,294,276","5,082,259","4,513,890","4,035,083","3,847,838","3,676,651","4,076,168","4,227,156","4,850,926","5,082,254","6,216,545","6,624,365","4,834,154","4,907,130","4,291,915","4,076,804","3,661,537","3,453,254","3,837,114","4,078,989","4,630,192","4,834,199","6,142,829","6,455,314","4,983,964","4,754,647","4,128,945","4,037,145","3,522,240","3,490,796","3,974,146","4,151,399","4,704,257","4,979,703","6,357,232","6,614,065","5,027,951","4,908,160","4,248,453","4,061,121","3,517,696","3,380,131","3,984,908","4,039,014","4,587,265","4,952,835","6,380,121","6,408,146","5,077,647","4,773,277","4,217,779","4,193,501","3,585,578","3,685,638","3,961,481","4,110,257","4,736,022","5,163,102","6,338,243","6,684,518","5,017,151","4,709,489","4,868,036","4,583,643","4,357,793","3,826,686","4,739,843","4,815,987","5,515,865","5,830,356","7,074,936","7,506,462","5,758,008","5,683,571","4,936,467","4,699,269","4,346,748","4,055,845","4,796,876","5,022,423","5,661,751","6,112,316","7,276,436","7,711,673","6,010,660","5,955,024","5,013,269","5,119,123","4,364,078","4,088,078","5,132,430","5,318,179","6,101,763","6,445,856","7,777,939","7,900,618","6,499,290","6,315,608","5,449,679","5,469,864","4,912,193","4,812,053","5,440,861","5,534,634","6,289,090","6,857,938","8,045,249","8,281,054","6,849,000","6,484,915","5,702,912","5,495,117","5,188,391","4,557,458","5,558,724","5,693,212","6,592,382","7,110,134","8,196,844","8,501,580","7,042,644","6,805,579","6,039,927","5,653,249","5,183,322","5,018,373","5,633,798","5,920,127","6,863,209","7,315,909","8,406,431","8,776,463","7,111,539","6,973,014","5,908,267","6,011,727","5,368,118","5,127,663","5,995,375","6,089,396","7,011,455","7,369,951","8,558,035","8,867,403","7,194,084","7,174,977","6,076,480","5,855,002","5,647,019","5,368,530"
Passenger Car with trailer,"53,155","73,663","56,328","43,642","78,642","97,741","141,018","146,888","97,068","71,493","50,102","37,565","49,286","55,521","50,450","49,944","76,197","90,141","130,027","141,084","83,215","69,744","49,650","35,022","48,738","56,585","53,602","44,397","75,796","82,753","140,769","134,487","91,694","68,409","46,808","32,389","42,320","41,863","40,436","51,018","76,761","86,080","136,235","133,768","89,167","73,452","48,051","35,861","40,951","49,889","44,927","44,084","72,190","82,667","135,328","123,062","87,878","71,594","48,444","31,815","32,614","48,120","43,022","47,564","75,682","88,565","132,189","132,809","86,528","65,969","49,771","35,956","48,947","47,464","46,414","47,376","77,155","91,093","129,865","138,848","90,848","74,475","52,748","55,081","65,324","67,925","62,533","47,721","80,793","95,861","133,614","144,630","98,583","83,137","54,335","39,564","42,885","49,198","55,317","52,247","91,635","100,766","145,452","143,487","104,534","84,989","59,265","44,159","46,852","45,338","48,817","58,842","90,933","106,691","149,408","141,183","114,760","90,358","59,683","43,624","57,778","55,047","52,476","57,292","94,431","113,872","158,918","146,006","113,321","90,720","62,335","44,318","51,510","56,161","55,935","55,691","98,181","117,606","152,777","155,891","114,936","94,084","58,015","42,584","55,077","59,716","61,000","56,932","100,817","122,484","155,709","160,452","117,887","97,433","63,308","43,116","52,959","70,325"
Trucks and all other two-axle vehicles,"130,594","115,371","133,405","135,284","157,009","156,351","163,100","177,331","147,785","158,951","135,482","123,724","128,624","122,623","127,592","136,167","146,153","148,340","159,629","154,580","144,034","149,227","117,465","128,279","117,531","106,623","118,783","123,154","131,013","140,096","154,703","148,732","141,275","137,208","113,292","121,424","107,979","100,875","121,552","125,934","131,652","143,542","148,888","152,809","141,243","136,067","122,114","120,347","112,884","105,862","126,888","121,101","134,540","143,351","143,314","157,330","144,593","135,791","122,865","120,321","115,958","108,993","118,683","120,912","138,971","141,002","147,897","158,976","132,270","138,978","120,880","111,398","117,339","105,824","113,390","123,142","139,938","136,486","152,420","157,378","138,421","143,422","119,314","126,360","120,165","108,736","119,501","126,851","138,357","144,557","155,241","152,494","147,583","146,657","119,104","123,010","117,413","113,138","124,480","129,665","139,734","151,039","160,885","154,277","148,398","148,417","125,103","129,004","117,113","115,504","127,298","128,288","142,796","157,032","153,509","168,327","157,014","146,965","130,164","132,961","126,482","111,032","132,267","129,726","154,504","162,182","155,832","176,080","160,354","155,086","146,931","135,989","134,079","123,416","135,098","142,895","169,528","167,605","175,169","185,880","162,251","171,054","145,068","138,801","142,660","124,603","142,559","151,340","173,193","167,541","184,383","184,566","166,077","181,499","147,180","145,227","146,323","130,969"
Three axle trucks; class two vehicles towing trailers; buses (13 or more pass.),"49,627","44,164","51,642","55,480","60,978","62,262","64,290","67,950","58,746","67,329","55,722","45,652","49,924","45,744","49,102","54,736","58,392","62,914","74,800","62,401","58,863","61,970","46,573","46,562","43,876","40,946","45,248","50,583","55,200","58,750","66,422","57,713","57,197","57,164","47,205","46,627","42,945","40,321","51,130","60,312","58,765","59,060","59,496","61,658","57,817","57,028","49,853","45,867","42,850","41,382","49,242","48,306","52,976","61,986","59,405","63,902","59,353","57,017","51,613","48,145","45,249","42,896","48,431","50,209","56,481","56,805","60,508","64,042","55,766","57,497","49,349","40,726","45,368","40,551","44,004","49,927","54,823","54,123","59,110","61,833","55,711","57,983","46,845","46,657","48,317","42,858","47,415","49,947","54,421","60,360","61,234","57,936","56,524","58,400","45,270","45,755","42,124","40,547","46,105","51,031","54,999","60,728","64,615","61,543","60,108","62,080","51,438","51,228","45,533","43,617","49,723","51,510","56,330","61,155","57,611","63,226","61,560","60,851","52,829","49,505","48,137","41,344","48,711","51,530","59,578","63,684","60,054","68,436","61,996","62,252","56,684","50,482","51,264","43,754","47,730","51,548","61,430","62,128","61,625","64,632","58,283","63,694","51,243","47,988","57,444","46,450","53,808","61,546","64,685","62,773","68,381","70,213","66,041","71,360","59,964","53,619","60,003","52,120"
Four axle trucks and combinations -includes Class two vehicles towing two axle trailers,"46,121","41,857","50,356","50,751","61,173","62,481","65,151","72,038","61,795","66,413","53,144","42,488","45,862","41,903","48,420","54,625","58,662","60,350","68,125","61,665","59,043","60,256","43,446","43,139","37,750","36,541","42,242","48,208","49,581","56,737","64,102","57,182","56,061","52,270","42,296","41,251","34,115","33,552","43,186","50,730","52,273","56,355","59,492","60,268","57,652","52,400","43,569","40,782","35,262","32,394","41,552","43,240","48,711","56,231","53,650","58,701","52,968","49,873","43,837","40,521","38,349","37,951","40,683","44,765","51,367","52,875","55,625","61,860","53,497","56,228","46,444","38,423","41,741","36,303","41,151","47,112","54,147","53,227","58,401","64,131","56,120","57,001","43,875","40,618","39,696","36,038","42,754","47,396","53,129","57,272","61,072","60,733","58,249","56,514","41,351","43,791","36,576","34,473","42,145","49,719","54,350","59,779","66,105","62,884","60,084","61,837","50,520","50,588","43,212","42,089","48,593","50,014","57,031","64,545","62,238","69,241","64,091","60,295","53,457","48,382","46,335","39,576","48,943","50,659","62,030","66,860","63,624","73,073","63,047","61,864","55,007","49,294","48,015","43,498","48,120","54,060","64,783","65,155","67,008","70,098","61,087","65,202","52,164","50,886","52,281","45,036","53,070","63,644","68,651","64,700","81,542","70,076","65,115","70,640","57,387","47,076","52,895","49,413"
Five axle vehicles and combinations - includes all vehicles requiring Overlimit Permit,"335,519","300,621","346,430","335,463","391,880","373,269","363,366","380,907","338,662","377,077","341,931","314,087","336,720","307,408","333,011","352,317","360,410","347,788","355,762","330,554","328,743","336,477","287,934","293,509","284,478","259,540","295,913","318,830","330,627","335,984","326,645","321,771","317,396","323,531","296,522","302,409","284,238","271,020","324,187","337,517","338,005","348,613","340,593","345,102","325,481","318,335","319,558","309,115","296,476","278,461","336,612","319,110","339,302","341,559","322,687","351,566","328,865","315,026","312,946","307,653","300,697","290,460","319,033","317,842","342,128","330,597","332,779","340,287","300,402","330,176","314,886","286,561","306,079","267,172","305,189","323,235","350,119","320,010","339,395","333,566","310,100","331,887","297,387","295,623","303,841","264,094","303,813","326,049","343,600","333,446","343,246","337,431","328,351","334,522","293,720","312,790","287,263","270,498","323,272","330,777","340,938","349,905","348,435","342,900","343,695","345,165","313,801","319,216","300,528","299,315","343,289","332,968","355,781","361,039","336,960","365,867","344,562","339,634","329,874","322,601","324,922","283,726","335,587","329,168","371,695","364,780","344,480","363,420","337,108","353,061","336,415","315,748","318,604","293,242","327,864","345,178","385,692","365,657","354,181","376,560","338,896","360,746","328,242","325,688","320,199","289,315","331,017","355,923","375,423","357,064","360,235","375,813","343,554","370,742","328,300","316,985","328,990","299,080"
Six or more axle vehicles includes double-bottoms,"53,637","50,546","54,622","51,056","63,783","58,091","56,043","58,636","50,594","58,157","52,308","49,805","53,780","48,524","51,658","57,251","58,521","54,456","57,562","53,602","50,465","52,676","41,532","46,601","45,707","41,601","44,515","46,545","48,800","49,669","52,383","47,359","48,484","48,979","43,400","43,352","36,832","34,426","42,423","46,502","46,401","46,001","43,024","44,918","43,635","43,312","42,829","43,057","44,716","41,411","47,963","45,850","50,554","51,092","46,971","52,108","49,471","48,154","46,231","45,555","42,907","44,443","49,257","48,568","51,626","46,314","46,829","49,528","43,606","48,110","44,791","40,552","48,369","39,433","41,793","52,469","54,780","46,450","48,251","49,710","45,731","51,179","42,576","43,486","45,801","39,455","43,971","47,170","50,014","50,192","50,691","48,754","49,040","50,980","40,742","43,679","40,876","39,212","44,025","46,214","47,930","50,258","50,984","47,678","47,026","49,459","44,239","45,487","43,212","40,799","47,654","47,859","50,999","54,279","49,212","54,495","54,060","55,050","52,560","52,013","50,971","43,122","51,129","51,529","60,201","60,342","54,424","59,536","54,157","56,709","55,325","52,589","54,287","48,564","51,160","54,121","61,287","59,039","55,557","59,026","51,654","56,945","51,640","52,078","53,295","47,089","53,323","56,130","60,783","56,323","58,965","61,995","56,482","62,201","52,252","49,208","53,439","47,683"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,