plaza,year,revenue,average_fare,transactions,average_daily_trans,
7 York,2007,34802359.70,2.37,14691036,,
19 Wells,2007,1175193.75,0.48,2457558,,
25 Kennebunk,2007,918413.40,0.47,1940948,,
32 Biddeford,2007,2483328.75,0.54,4564081,,
36 Saco,2007,2611079.05,0.51,5090611,,
42 Scarborough,2007,1180074.85,0.62,1907469,,
44 Scarborough I-295,2007,4348113.30,0.71,6121329,,
45 Maine Mall/Payne Road,2007,3154264.85,0.69,4600074,,
46 Jetport,2007,1587425.15,0.51,3112270,,
47 Rand Road,2007,986458.00,0.57,1740220,,
48 Riverside St/Larrabee Road,2007,2099694.20,0.55,3810150,,
52 Falmouth Spur,2007,2855950.85,0.71,4048647,,
53 West Falmouth,2007,1012412.35,0.50,2011673,,
63 Gray,2007,1566834.85,0.58,2698418,,
67 New Gloucester,2007,11253243.75,1.79,6284670,,
102 West Gardiner,2007,5475621.05,1.39,3943240,,
103 Gardiner I-295,2007,5183683.15,0.69,7554186,,
7 York,2008,33041703.65,2.38,13860815,37871.08,
19 Wells,2008,1163544.20,0.48,2441409,6670.52,
25 Kennebunk,2008,882120.80,0.47,1870306,5110.13,
32 Biddeford,2008,2393582.85,0.53,4489649,12266.80,
36 Saco,2008,2624146.60,0.51,5109881,13961.42,
42 Scarborough,2008,1244007.70,0.59,2101393,5741.51,
44 Scarborough I-295,2008,4184308.85,0.71,5884805,16078.70,
45 Maine Mall/Payne Road,2008,3153317.10,0.69,4601481,12572.35,
46 Jetport,2008,1595413.45,0.51,3147285,8599.14,
47 Rand Road,2008,955762.20,0.57,1685350,4604.78,
48 Riverside St/Larrabee Road,2008,2076687.95,0.55,3756111,10262.60,
52 Falmouth Spur,2008,2620242.55,0.71,3681238,10058.03,
53 West Falmouth,2008,1015157.55,0.50,2022160,5525.03,
63 Gray,2008,1529791.45,0.57,2673761,7305.36,
67 New Gloucester,2008,11124991.40,1.80,6187851,16906.70,
102 West Gardiner,2008,5591549.40,1.39,4023342,10992.74,
103 Gardiner I-295,2008,4740649.25,0.68,6928467,18930.24,
7 York,2009,36725713.65,2.65,13864183,37984.06,
19 Wells,2009,1544604.75,0.62,2488310,6817.29,
25 Kennebunk,2009,1243995.50,0.67,1864611,5108.52,
32 Biddeford,2009,3373172.55,0.77,4397683,12048.45,
36 Saco,2009,3515802.85,0.72,4892944,13405.33,
42 Scarborough,2009,1730095.80,0.82,2104134,5764.75,
44 Scarborough I-295,2009,6144071.55,1.06,5794662,15875.79,
45 Maine Mall/Payne Road,2009,4131106.75,0.94,4382111,12005.78,
46 Jetport,2009,2070057.30,0.69,2997294,8211.76,
47 Rand Road,2009,1211170.30,0.78,1558039,4268.60,
48 Riverside St/Larrabee Road,2009,2765300.25,0.78,3535711,9686.88,
52 Falmouth Spur,2009,3304777.50,1.00,3292848,9021.50,
53 West Falmouth,2009,1300695.85,0.67,1931688,5292.30,
63 Gray,2009,2147405.85,0.83,2600240,7123.95,
67 New Gloucester,2009,13931070.60,2.35,5926892,16238.06,
102 West Gardiner,2009,6270192.00,1.59,3955182,10836.12,
103 Gardiner I-295,2009,6745118.60,0.96,7039827,19287.20,
7 York,2010,37666778.80,2.67,14119721,38684.17,
19 Wells,2010,1638162.80,0.63,2593432,7105.29,
25 Kennebunk,2010,1326579.00,0.69,1920133,5260.64,
32 Biddeford,2010,3492111.85,0.79,4448276,12187.06,
36 Saco,2010,3740277.00,0.74,5070420,13891.56,
42 Scarborough,2010,1825330.80,0.84,2168476,5941.03,
44 Scarborough I-295,2010,6675048.45,1.11,5994142,16422.31,
45 Maine Mall/Payne Road,2010,4292631.05,0.97,4442229,12170.49,
46 Jetport,2010,2235702.80,0.72,3116572,8538.55,
47 Rand Road,2010,1302289.20,0.82,1581401,4332.61,
48 Riverside St/Larrabee Road,2010,2907610.55,0.80,3634818,9958.41,
52 Falmouth Spur,2010,3422465.10,1.05,3250582,8905.70,
53 West Falmouth,2010,1352696.10,0.70,1931632,5292.14,
63 Gray,2010,2230536.20,0.85,2621396,7181.91,
67 New Gloucester,2010,13159201.35,2.33,5646986,15471.19,
102 West Gardiner,2010,5486200.00,1.53,3579290,9806.27,
103 Gardiner I-295,2010,7620642.65,1.00,7593210,20803.32,
7 York,2011,36952168.60,2.69,13755018,37684.98,
19 Wells,2011,1693398.50,0.63,2670522,7316.50,
25 Kennebunk,2011,1341667.50,0.69,1935274,5302.12,
32 Biddeford,2011,3547039.70,0.78,4534902,12424.39,
36 Saco,2011,3719201.65,0.73,5090126,13945.55,
42 Scarborough,2011,1850289.95,0.84,2204174,6038.83,
44 Scarborough I-295,2011,6243436.25,1.09,5716891,15662.72,
45 Maine Mall/Payne Road,2011,4345297.75,0.96,4523673,12393.62,
46 Jetport,2011,2273277.60,0.72,3169502,8683.57,
47 Rand Road,2011,1571888.90,0.83,1884697,5163.55,
48 Riverside St/Larrabee Road,2011,2459293.00,0.77,3181025,8715.14,
52 Falmouth Spur,2011,3725330.30,1.11,3353670,9188.14,
53 West Falmouth,2011,1356116.10,0.70,1936070,5304.30,
63 Gray,2011,2223011.10,0.85,2626625,7196.23,
67 New Gloucester,2011,12968338.70,2.38,5443839,14914.63,
102 West Gardiner,2011,5521974.85,1.57,3521526,9648.02,
103 Gardiner I-295,2011,7413965.05,0.99,7517093,20594.78,